site_id,type,count
66,White Chert,10
66,Red Chert,6
66,Obsidian,9
67,White Chert,7
67,Red Chert,8
67,Red/White Chert,6
68,White Chert,9
68,Red Chert,2
68,Gray Chert,3
68,Yellow Chert,3
68,Obsidian,2
69,White Chert,5
69,Red Chert,4
69,Gray Chert,2
69,Red/White Chert,3
69,Yellow Chert,3
69,Petrified Wood,3
70,White Chert,9
70,Red Chert,11
70,Gray Chert,5
70,Red/White Chert,4
70,Petrified Wood,5
71,White Chert,3
71,Red Chert,9
71,Gray Chert,7
71,Red/White Chert,5
71,Yellow Chert,4
71,Petrified Wood,9
72,White Chert,9
72,Red Chert,7
72,Gray Chert,3
72,Red/White Chert,9
72,Yellow Chert,3
72,Petrified Wood,6
73,White Chert,3
73,Red Chert,6
73,Gray Chert,11
73,Red/White Chert,5
73,Yellow Chert,5
73,Petrified Wood,8
74,Red Chert,15
74,Gray Chert,6
74,Red/White Chert,3
74,Yellow Chert,2
74,Petrified Wood,9
75,White Chert,3
75,Red Chert,2
75,Gray Chert,5
75,Red/White Chert,3
75,Yellow Chert,2
75,Rhyolite,5
75,Petrified Wood,2
76,White Chert,6
76,Red Chert,8
76,Gray Chert,2
76,Red/White Chert,6
76,Yellow Chert,6
76,Petrified Wood,8
77,White Chert,4
77,Red Chert,9
77,Gray Chert,3
77,Red/White Chert,5
77,Yellow Chert,3
77,Petrified Wood,8
78,White Chert,5
78,Red Chert,8
78,Gray Chert,3
78,Red/White Chert,5
78,Yellow Chert,9
78,Dacite,2
78,Petrified Wood,8
79,Gray Chert,8
79,Red/White Chert,4
79,Yellow Chert,7
79,Petrified Wood,9
80,White Chert,5
80,Red Chert,8
80,Gray Chert,4
80,Red/White Chert,9
80,Yellow Chert,2
80,Petrified Wood,3
81,White Chert,6
81,Red Chert,5
81,Gray Chert,7
81,Red/White Chert,3
81,Yellow Chert,2
81,Petrified Wood,5
82,White Chert,5
82,Red Chert,7
82,Gray Chert,4
82,Red/White Chert,4
82,Yellow Chert,5
82,Petrified Wood,3
83,White Chert,7
83,Red Chert,4
83,Gray Chert,3
83,Red/White Chert,2
83,Yellow Chert,8
83,Petrified Wood,5
